ime;url;visina;id;gor_id;lon;lat;opis
Snežnik;/gora/sneznik/26/127;1796;127;26;45,5885;14,4476;Snežnik oz. Veliki Snežnik je z višino 1796 m najvišji vrh v bližnji in daljni okolici, zato je z njega lep razgled po večjem delu Slovenije in bližnje sosednje Hrvaške. Ob lepem vremenu tako vidimo najvišje vrhove Gorskega Kotarja in Istre, kjer izstopajo Risnjak, Snježnik in Učka. Na slovensko stran pa prek prostranih gozdov Notranjske vidimo tudi najvišje vrhove Julijskih Alp, Kamniško Savinjskih Alp in Karavank.  Le nekaj metrov pod vrhom pa se nahaja tudi zavetišče Draga Karolina na Velikem Snežniku. 
Mali Snežnik;/gora/mali_sneznik/26/556;1694;556;26;45,5898;14,4359;Mali Snežnik je vrh na zahodnem grebenu Snežnika. Vrh, ki je poraščen z rušjem ima lep razgled na sosednji Veliki Snežnik in okoliško hribovje.
Mali Golak;/gora/mali_golak/26/511;1495;511;26;45,9785;13,8644;Mali Golak je najvišji od Golakov. Imena ni dobil zato, ker naj bi bil najmanjši ampak, ker je imel najmanjšo planino. Na zemljevidih je prišlo do napake in namesto Malega Golaka piše Veliki Golak. Sicer pa je z vrha lep razgled na vso Slovenijo. Lepo se vidi Triglav in velik del Julijskih Alp. Tudi Karavanke in Kamniške Alpe se vidijo. Pod nami pa Primorska s svojim morjem. Vrh ima vpisno knjigo in žig.
Srednji Golak;/gora/srednji_golak/26/529;1480;529;26;45,97448;13,87294;Srednji Golak se nahaja med Malim in Velikim Golakom na planoti Trnovskega gozda nad Predmejo. Vrh je poraščen z rušjem, razgled pa seže od morja čez Trnovsko planoto proti osrednji Sloveniji a ga nekoliko ovirajo redka drevesa.
Mrzovec;/gora/mrzovec/26/551;1410;551;26;45,97825;13,80575;Mrzovec je najizrazitejši vrh v osrčju Trnovske planote. Njegova lega omogoča čudovit razgled, vendar ga z vrha zastira visoko drevje. Na vrhu je zgrajen kamnit stolp (trigonometrična točka), a je visok le dobrih pet metrov. Ker pa iz nje nimamo širšega razgleda si lahko podoben razgled mozaično zagotovimo tudi z roba planotastega vrha, saj je na več krajih vegetacija deloma pretrgana. Kot na dlani imamo okoli sebe celoten Trnovski gozd, predvsem vasi Lokve in Nemci. Ob jasnem vremenu je lep razgled tudi širši, do Jadranskega morja na jugu, Julijskih Alp na severu, na zahodni strani se rišeta Sabotin in Banjšice, na vzhodu pa notranjost Slovenije.
Veliki Modrasovec;/gora/veliki_modrasovec/26/503;1353;503;26;45,93638;13,85005;Veliki Modrasovec se nahaja na južnem delu Trnovskega gozda v bližini Predmeje. Na vrhu stoji stara vojaška zgradba na katero se moramo povzpeti za lepši razgled. Lepo se vidijo bližnji Golaki in zadaj nad njim del Kamniških Alp. Levo od Golakov pa se lepo vidijo Julijske Alpe kjer najbolj izstopata Triglav in nekoliko bližji Krn. Na primorsko stran razgled ovira gozd.
Bukov Vrh (Trnovski gozd);/gora/bukov_vrh_trnovski_gozd/26/1941;1314;1941;26;45,99013;13,88505;Bukov vrh je 1314 m visok vrh, ki se nahaja na severnem robu Trnovskega gozda. Večinoma gozdnat vrh, ki je porasel z bukouvjem, se proti severu strmo spušča proti dolini Trebuščice, proti jugu pa se nadaljuje v planoto Trnovskega gozda. Skozi krošnje dreves, se nam odpre nekaj razgleda proti Golakom in Škofjeloškemu in Cerkljanskemu hribovju, sicer pa je vrh, ki je ob ugodnih snežnih razmerah lep turnosmučarski cilj, tudi rezervat pragozda.
Suhi vrh (Nanos);/gora/suhi_vrh_nanos/26/1215;1313;1215;26;45,79828;14,0671;Suhi vrh je s 1313m najvišji vrh kraške planote Nanos. Z vrha, ki ima vpisno skrinjico ter žig (žig je trenutno neuporaben 14.3.2009) je lep razgled proti Postojnski kotlini in hribovju, ki le to obdaja. Ob lepem vremenu razgled seže vse od Julijskih Alp prek Karavank do Kamniško Savinjskih Alp in Snežnika.
Mali Modrasovec;/gora/mali_modrasovec/26/502;1305;502;26;45,93035;13,85385;Mali Modrasovec je vrh severno od doma na Čavnu v Trnovskem gozdu. Na vrhu, ki je obdan z gozdom stoji manjša hiška in zraven nje kontrolni stolp. Zaradi gozda ni razgleda.
Poldanovec;/gora/poldanovec/26/545;1299;545;26;46,00953;13,83299;Poldanovec se nahaja v Govcih, na severnem robu Trnovske planote. Govci se strmo dvigajo nad dolino Gorenje Trebuše. Poldanovec ni najvišja točka, temveč nudi najlepši razgled proti severu. Obkrožajo ga Mojski vrh, Veliki Bukovec in Veliki Češevik, pod njim pa se spušča kotanja Mojske Drage.
Goteniški Snežnik;/gora/goteniski_sneznik/26/1176;1289;1176;26;45,59193;14,73624;Goteniški Snežnik je s 1289m najvišji vrh Goteniške gore. Ker vrh prerašča gozd, je razgled z njega precej okrnjen. Vrh ima vpisno skrinjico in žig.
Srednja gora (Hrušica);/gora/srednja_gora_hrusica/26/1435;1275;1435;26;45,8712;14,07192;Srednja gora je 1275 m visok vrh, ki se nahaja v osrednjem delu gozdnate Hrušice. Vrh je poraščen z gozdom, se nam le nekaj minut hoje od vrha (v smeri od vrha proti vzhodu) odpre lep razgled proti Nanosu in hribovju Notranjske.
